team_id,season,affiliate_league,affiliate,league,team_name,classification,category,location_id,city,state,country,lat,long
2016_SouthAtlantic_Greenville,2017,AL,BOS,South Atlantic,Greenville,A,MiLB,Greenville_SC_US,Greenville,SC,US,34.851354,-82.398488
2016_GulfCoast_YankeesWest,2017,AL,NYY,Gulf Coast,Yankees West,Rk,MiLB,FL_US,,FL,US,27.756767,-81.463983
2016_FloridaState_Clearwater,2017,NL,PHI,Florida State,Clearwater,A+,MiLB,Clearwater_FL_US,Clearwater,FL,US,27.965853,-82.800103
2016_Eastern_Harrisburg,2017,NL,WSH,Eastern,Harrisburg,AA,MiLB,Harrisburg_PA_US,Harrisburg,PA,US,40.266311,-76.886112
2016_FloridaState_Bradenton,2017,NL,PIT,Florida State,Bradenton,A+,MiLB,Bradenton_FL_US,Bradenton,FL,US,27.498928,-82.574819
2016_Pioneer_Helena,2017,NL,MIL,Pioneer,Helena,Rk,MiLB,Helena_MT_US,Helena,MT,US,46.592712,-112.036109
2016_SouthAtlantic_Hickory,2017,AL,TEX,South Atlantic,Hickory,A,MiLB,Hickory_NC_US,Hickory,NC,US,35.73319,-81.341201
2016_Northwest_Hillsboro,2017,NL,ARI,Northwest,Hillsboro,A-,MiLB,Hillsboro_OR_US,Hillsboro,OR,US,45.522894,-122.989827
2016_NewYork-Pennsylvania_HudsonValley,2017,AL,TB,New York-Pennsylvania,Hudson Valley,A-,MiLB,WappingersFalls_NY_US,Wappingers Falls,NY,US,41.596564,-73.91121
2016_Pioneer_IdahoFalls,2017,AL,KC,Pioneer,Idaho Falls,Rk,MiLB,IdahoFalls_ID_US,Idaho Falls,ID,US,43.493079,-112.044349
2016_International_Indianapolis,2017,NL,PIT,International,Indianapolis,AAA,MiLB,Indianapolis_IN_US,Indianapolis,IN,US,39.768333,-86.15835
2016_Arizona_Indians,2017,AL,CLE,Arizona,Indians,Rk,MiLB,AZ_US,,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Indians,2017,AL,CLE,Dominican Summer,Indians,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_Indians/Brewers,2017,AL,CLE,Dominican Summer,Indians/Brewers,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_California_InlandEmpire,2017,AL,LAA,California,Inland Empire,A+,MiLB,SanBernardino_CA_US,San Bernardino,CA,US,34.108345,-117.289765
2016_PacificCoast_Iowa,2017,NL,CHC,Pacific Coast,Iowa,AAA,MiLB,DesMoines_IA_US,Des Moines,IA,US,41.591064,-93.603715
2016_Southern_Jackson,2017,NL,ARI,Southern,Jackson,AA,MiLB,Jackson_MS_US,Jackson,MS,US,32.299038,-90.184769
2016_Southern_Jacksonville,2017,NL,MIA,Southern,Jacksonville,AA,MiLB,Jacksonville_FL_US,Jacksonville,FL,US,30.332184,-81.655651
2016_GulfCoast_Pirates,2017,NL,PIT,Gulf Coast,Pirates,Rk,MiLB,FL_US,,FL,US,27.756767,-81.463983
2016_FloridaState_Charlotte,2017,AL,TB,Florida State,Charlotte,A+,MiLB,PortCharlotte_FL_US,Port Charlotte,FL,US,26.976171,-82.090645
2016_GulfCoast_Nationals,2017,NL,WSH,Gulf Coast,Nationals,Rk,MiLB,FL_US,,FL,US,27.756767,-81.463983
2016_SouthAtlantic_Kannapolis,2017,AL,CWS,South Atlantic,Kannapolis,A,MiLB,Kannapolis_NC_US,Kannapolis,NC,US,35.487361,-80.621734
2016_International_Gwinnett,2017,NL,ATL,International,Gwinnett,AAA,MiLB,Gwinnett_GA_US,Gwinnett,GA,US,32.329381,-83.113737
2016_SouthAtlantic_Augusta,2017,NL,SF,South Atlantic,Augusta,A,MiLB,Augusta_GA_US,Augusta,GA,US,33.470971,-81.974843
2016_California_LakeElsinore,2017,NL,SD,California,Lake Elsinore,A+,MiLB,LakeElsinore_CA_US,Lake Elsinore,CA,US,33.668077,-117.327261
2016_FloridaState_Lakeland,2017,AL,DET,Florida State,Lakeland,A+,MiLB,Lakeland_FL_US,Lakeland,FL,US,28.039465,-81.949804
2016_SouthAtlantic_Lakewood,2017,NL,PHI,South Atlantic,Lakewood,A,MiLB,Lakewood_NJ_US,Lakewood,NJ,US,40.097893,-74.217643
2016_Midwest_QuadCities,2017,AL,HOU,Midwest,Quad Cities,A,MiLB,Davenport_IA_US,Davenport,IA,US,41.523644,-90.577637
2016_Midwest_Lansing,2017,AL,TOR,Midwest,Lansing,A,MiLB,Lansing_MI_US,Lansing,MI,US,42.733771,-84.55538
2016_PacificCoast_LasVegas,2017,NL,NYM,Pacific Coast,Las Vegas,AAA,MiLB,LasVegas_NV_US,Las Vegas,NV,US,36.166286,-115.149225
2016_International_LehighValley,2017,NL,PHI,International,Lehigh Valley,AAA,MiLB,Allentown_PA_US,Allentown,PA,US,40.602206,-75.471279
2016_Midwest_Burlington,2017,AL,LAA,Midwest,Burlington,A,MiLB,Burlington_IA_US,Burlington,IA,US,40.807539,-91.112923
2016_International_Louisville,2017,NL,CIN,International,Louisville,AAA,MiLB,Louisville_KY_US,Louisville,KY,US,38.254238,-85.759407
2016_NewYork-Pennsylvania_Lowell,2017,AL,BOS,New York-Pennsylvania,Lowell,A-,MiLB,Lowell_MA_US,Lowell,MA,US,42.633425,-71.316172
2016_Carolina_Lynchburg,2017,AL,CLE,Carolina,Lynchburg,A+,MiLB,Lynchburg_VA_US,Lynchburg,VA,US,37.413754,-79.142246
2016_NewYork-Pennsylvania_MahoningValley,2017,AL,CLE,New York-Pennsylvania,Mahoning Valley,A-,MiLB,Niles_OH_US,Niles,OH,US,41.182835,-80.765358
2016_Arizona_Mariners,2017,AL,SEA,Arizona,Mariners,Rk,MiLB,AZ_US,,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Mariners,2017,AL,SEA,Dominican Summer,Mariners,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_Marlins,2017,NL,MIA,Dominican Summer,Marlins,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_GulfCoast_Marlins,2017,NL,MIA,Gulf Coast,Marlins,Rk,MiLB,FL_US,,FL,US,27.756767,-81.463983
2016_PacificCoast_Memphis,2017,NL,STL,Pacific Coast,Memphis,AAA,MiLB,Memphis_TN_US,Memphis,TN,US,35.149022,-90.051628
2016_Midwest_Clinton,2017,AL,SEA,Midwest,Clinton,A,MiLB,Clinton_IA_US,Clinton,IA,US,41.844474,-90.188738
2016_Midwest_KaneCounty,2017,NL,ARI,Midwest,Kane County,A,MiLB,Geneva_IL_US,Geneva,IL,US,41.887528,-88.305352
2016_Midwest_SouthBend,2017,NL,CHC,Midwest,South Bend,A,MiLB,SouthBend_IN_US,South Bend,IN,US,41.683381,-86.250007
2016_Texas_Midland,2017,AL,OAK,Texas,Midland,AA,MiLB,Midland_TX_US,Midland,TX,US,31.997366,-102.077948
2016_Southern_Mississippi,2017,NL,ATL,Southern,Mississippi,AA,MiLB,Jackson_MS_US,Jackson,MS,US,32.299038,-90.184769
2016_Pioneer_Missoula,2017,NL,ARI,Pioneer,Missoula,Rk,MiLB,Missoula_MT_US,Missoula,MT,US,46.87008,-113.99528
2016_Southern_Mobile,2017,AL,LAA,Southern,Mobile,AA,MiLB,Mobile_AL_US,Mobile,AL,US,30.694357,-88.043054
2016_Midwest_FortWayne,2017,NL,SD,Midwest,Fort Wayne,A,MiLB,FortWayne_IN_US,Fort Wayne,IN,US,41.07999,-85.138601
2016_SouthAtlantic_Lexington,2017,AL,KC,South Atlantic,Lexington,A,MiLB,Lexington_KY_US,Lexington,KY,US,38.046407,-84.497039
